"","cntry","happy","sclmeet","inprdsc","health","ctrlife","etfruit","eatveg","dosprt","cgtsmok","alcfreq","height","weighta","fltdpr","flteeff","slprl","wrhpp","fltlnl","enjlf","fltsd","hltprhc","hltprhb","hltprdi","gndr","paccnois"
"129","AT",9,6,5,1,8,2,3,5,6,7,187,90,1,1,1,4,1,4,1,0,0,0,1,0
"130","AT",9,2,4,3,10,7,4,0,1,2,174,78,1,2,2,4,1,3,1,0,0,1,1,0
"131","AT",8,6,2,3,10,6,3,7,1,6,180,95,1,2,1,4,1,4,1,0,0,0,1,0
"132","AT",9,6,4,2,9,2,2,3,6,5,164,65,1,1,1,4,2,4,1,0,0,0,2,0
"133","AT",9,6,4,2,9,3,3,7,6,4,162,69,1,1,2,4,1,4,1,1,1,0,2,0
"134","AT",9,6,3,1,8,2,3,5,6,7,173,89,1,1,1,3,1,3,1,0,0,0,1,0
"135","AT",8,NA,1,1,10,3,3,7,6,7,183,98,2,1,2,3,1,3,2,0,0,0,1,0
"136","AT",9,4,4,1,10,4,3,1,4,7,175,82,1,1,1,3,1,3,2,0,0,0,2,0
"137","AT",10,4,4,1,10,3,2,7,6,4,171,82,1,1,1,3,1,3,1,0,0,0,2,0
"138","AT",7,3,0,3,5,4,4,7,4,7,187,75,1,1,1,3,1,3,2,0,1,0,1,0
"139","AT",0,4,5,2,9,3,3,NA,5,3,179,88,2,2,2,2,2,2,2,0,0,0,1,0
"140","AT",8,4,4,2,10,3,3,0,6,5,165,70,1,1,1,3,1,3,2,0,1,0,2,0
"141","AT",6,3,1,3,8,3,3,1,6,7,164,54,1,1,1,2,2,2,2,0,0,0,2,0
"142","AT",5,5,4,3,4,3,5,0,4,7,168,74,1,2,1,2,1,2,3,0,0,0,2,0
"143","AT",8,6,3,2,8,3,3,6,1,4,154,67,2,2,3,3,2,3,1,0,0,0,2,1
"144","AT",7,4,4,3,9,5,4,0,2,5,168,90,1,1,3,3,2,3,1,0,1,0,2,1
"145","AT",9,4,4,2,9,4,4,2,6,2,161,85,1,2,1,3,1,3,1,0,0,0,2,0
"146","AT",8,3,0,4,5,4,4,7,6,7,167,54,1,2,2,2,2,2,2,0,1,0,2,0
"147","AT",8,4,1,2,9,3,3,4,6,5,159,54,2,1,1,2,1,2,1,0,0,0,2,0
"148","AT",6,6,4,1,10,3,3,7,1,1,178,66,1,1,1,4,1,4,1,0,0,0,1,0
"149","AT",7,4,2,2,6,4,3,0,5,2,180,96,1,1,2,2,1,3,1,0,1,0,1,0
"150","AT",5,6,2,2,10,3,2,7,5,6,168,66,1,1,1,3,1,3,1,0,0,0,2,0
"151","AT",9,5,3,2,9,4,3,2,6,3,186,90,1,1,1,3,1,3,1,0,0,0,1,0
"152","AT",7,4,2,1,8,5,5,5,4,7,190,84,1,2,1,2,1,2,1,0,0,0,1,0
"153","AT",10,6,4,3,8,2,3,4,5,3,167,69,1,2,1,3,1,3,2,0,0,0,2,0
"154","AT",8,2,1,2,7,5,3,2,1,1,171,76,1,1,1,3,1,3,1,0,0,0,2,0
"155","AT",8,6,5,1,8,3,4,4,4,6,174,65,1,2,1,3,1,2,1,0,0,0,2,0
"156","AT",10,4,4,1,10,4,4,7,2,7,154,70,1,1,2,4,1,4,1,0,0,0,2,0
"157","AT",8,6,4,3,9,2,3,5,6,5,167,54,2,1,2,2,1,2,1,1,0,0,2,0
"158","AT",6,5,3,2,10,3,3,4,1,2,187,94,1,1,1,3,2,2,2,0,0,0,1,0
"159","AT",8,5,2,3,9,5,4,1,6,2,190,95,2,1,2,2,1,3,1,0,0,0,1,0
"160","AT",8,4,4,2,9,4,3,4,4,2,186,91,1,1,2,3,1,2,1,0,1,0,1,0
"161","AT",10,4,3,2,10,3,5,7,6,6,172,68,1,1,3,3,2,4,2,1,0,0,2,0
"162","AT",7,2,2,4,5,3,3,7,1,6,165,70,2,2,2,2,1,2,2,0,0,0,2,0
"163","AT",5,5,3,3,6,2,3,2,6,2,168,90,2,2,3,2,2,2,2,0,1,0,2,0
"164","AT",9,4,3,1,7,2,3,3,3,2,187,86,2,2,3,3,2,4,2,0,0,0,1,0
"165","AT",9,4,4,3,6,3,3,0,4,7,176,116,1,1,3,3,1,3,1,0,0,1,1,0
"166","AT",8,7,5,2,8,1,5,7,4,6,186,107,1,1,2,4,1,4,1,0,0,1,1,0
"167","AT",8,6,3,3,8,4,5,3,6,4,181,84,2,2,1,3,1,3,2,0,0,0,1,0
"168","AT",8,5,4,2,8,2,2,3,6,7,162,59,1,1,2,2,1,2,1,0,0,0,2,0
"169","AT",9,6,3,1,6,4,5,0,1,2,183,79,1,2,1,3,2,3,1,0,0,0,1,0
"170","AT",8,7,4,3,6,3,4,3,6,2,175,83,1,2,2,3,2,3,1,1,0,0,1,0
"171","AT",10,5,5,3,10,3,5,5,1,4,172,63,2,3,1,4,2,4,2,1,1,0,2,0
"172","AT",5,4,2,3,8,2,3,7,6,6,170,55,2,2,2,2,1,2,2,0,0,0,2,0
"173","AT",8,6,3,2,9,3,4,5,6,7,165,68,2,2,2,3,2,3,1,0,0,0,2,0
"174","AT",7,4,2,1,8,3,4,3,4,7,186,81,1,1,1,2,1,3,1,0,0,0,1,0
"175","AT",8,7,2,1,10,4,3,2,6,2,170,68,1,1,1,3,1,4,1,0,0,0,2,0
"176","AT",8,4,4,3,9,1,1,2,6,3,165,98,1,2,1,3,1,3,1,1,1,0,2,1
"177","AT",9,6,3,3,10,3,3,2,6,3,170,75,1,1,2,3,1,3,1,0,1,0,2,0
"178","AT",7,4,2,1,10,1,1,7,4,4,174,80,1,2,2,3,1,3,1,0,0,0,2,0
"179","AT",8,4,4,2,10,3,3,5,4,6,185,92,1,1,1,4,1,4,2,0,0,0,1,0
"180","AT",8,5,3,3,8,4,3,4,1,1,165,62,2,1,1,3,1,3,1,0,1,0,2,0
"181","AT",9,6,2,2,9,5,5,0,6,7,167,72,3,2,2,1,1,1,1,1,0,0,2,0
"182","AT",7,4,4,2,9,5,3,2,4,2,184,93,1,1,2,3,1,2,1,0,1,0,1,0
"183","AT",10,5,1,2,6,3,3,1,4,3,168,56,2,2,1,3,1,2,1,0,0,0,1,0
